samp;reads1;reads2;reads1b;reads2b;reads1c;reads2c;reads1d;reads2d;pairedR1;pairedR2;single;percent.clean;percent2.clean;Mb_paired;Mb_total
57_D.mel_I_2011_J;45005;46304;25645;26835;24862;26213;23578;24430;13688;13688;20632;0.304143984;0.53336296;2.7376;4.8008
58_D.im_I_2011_J;78411;55711;52109;32033;50423;31296;47527;28487;14333;14333;47348;0.182793231;0.484715155;2.8666;7.6014
59_D.sub_I_2011_J;45963;42091;27487;27752;26430;26922;23917;24731;6686;6686;35276;0.14546483;0.529208276;1.3372;4.8648
60_L.h_I_2011_J;94897;76399;40368;29089;38875;28269;36720;25247;7320;7320;47327;0.077136264;0.326496096;1.464;6.1967
61_D.mel_G_2011_J;99553;158936;50494;47010;48916;46044;45370;40957;16532;16532;53263;0.166062298;0.433573072;3.3064;8.6327
62_D.im_G_2011_J;32043;29230;18160;15792;17684;15442;16405;13773;4765;4765;20648;0.148706426;0.47089848;0.953;3.0178
63_D.hydei_G_2011_J;52476;46301;27949;22589;27151;22081;24148;19661;8707;8707;26395;0.16592347;0.417419392;1.7414;4.3809
64_D.suzuki_G_2011_J;71856;59474;53393;48361;51867;47345;48223;42449;12343;12343;65986;0.171774104;0.630928524;2.4686;9.0672
65_L.h_G_2011_J;38660;36644;29429;28793;28483;28101;26351;25688;6755;6755;38529;0.174728401;0.673034144;1.351;5.2039
66_L.b_G_2011_J;61649;53513;36525;37119;35493;36385;32838;32561;10254;10254;44891;0.166328732;0.530414119;2.0508;6.5399
67_D.mel_I_2011_S;58637;52826;37142;39212;36000;38236;33577;34681;17162;17162;33934;0.292682095;0.582038645;3.4324;6.8258
68_D.sim_I_2011_S;172379;174397;41562;41186;40106;40016;37629;37104;13647;13647;47439;0.079168576;0.216769444;2.7294;7.4733
69_D.im_I_2011_S;44072;38530;29818;24077;28815;23425;27694;22132;3843;3843;42140;0.087198221;0.565279543;0.7686;4.9826
70_D.sub_I_2011_S;38797;37554;25969;21441;24911;20828;23686;19046;8350;8350;26032;0.215222827;0.550712684;1.67;4.2732
71_D.suzuki_I_2011_S;41110;36989;25408;21493;24520;20962;23114;19353;7379;7379;27709;0.17949404;0.5165045;1.4758;4.2467
72_D.sp??_I_2011_S;67248;60997;50965;45476;49689;44670;45535;39280;10477;10477;63861;0.155796455;0.63061355;2.0954;8.4815
73_L.h_I_2011_S;39620;35782;33053;25870;32231;25384;29055;19605;6851;6851;34958;0.172917718;0.614083796;1.3702;4.866
74_Trichopria_I_2011_S;180966;160714;99214;95717;96541;93740;87736;83935;42397;42397;86877;0.234281578;0.47431838;8.4794;17.1671
75_Pachy_I_2011_S;66191;40433;43340;18627;41872;18152;40066;16901;3806;3806;49355;0.057500264;0.430322854;0.7612;5.6967
76_D.mel_G_2011_S;85855;70072;43884;34805;42486;33900;38480;30065;11708;11708;45129;0.13636946;0.399190496;2.3416;6.8545
77_D.sim_G_2011_S;221577;210446;39580;37931;38384;37037;35876;33308;13594;13594;41996;0.061351133;0.156117287;2.7188;6.9184
78_D.im_G_2011_S;73950;48241;47346;25221;46039;24690;43472;22316;8726;8726;48336;0.117998648;0.444814064;1.7452;6.5788
79_D.sub_G_2011_S;58730;57107;26260;26349;25537;25819;23768;23153;9232;9232;28457;0.157193938;0.399463647;1.8464;4.6921
80_D.suzuki_G_2011_S;56727;55686;31367;29722;30445;29111;27574;25832;12035;12035;29336;0.212156469;0.470728225;2.407;5.3406
81_L.b_G_2011_S;46485;33559;31753;24812;30878;24361;28901;21473;7630;7630;35114;0.16413897;0.541830698;1.526;5.0374
82_Trichopria_G_2011_S;97295;90686;66354;63687;64892;62635;59777;56577;32228;32228;51898;0.331240043;0.597944396;6.4456;11.6354
